Room Label 1,Exit,Room Label 2,↔️,Rules,Edit,Idx1,Idx2,✅,Rule 1,Rule 2,Rule 3,Rule 4,Rule 5,Rule 6,Rule 7,"Badges (SS[+], Moon, Turret)",Offstring Throw,Walk-the-Dog,Wall-Dash,UFO Throw,Wall Ride,"Moves (Sleeper+AtW/Parry, Coin-Flip, Coin-Flip+Prodigy, Cat's Cradle)",Other,Notes
"Abandoned Tunnels (X+0, Y+0) - ren1",down,"Abandoned Tunnels (X+0, Y+1) - ren12",FALSE,FALSE,7/27/2026 8:50:43,2,4,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+0, Y+1) - ren12",down,"Abandoned Tunnels (X+0, Y+2) - ren28",FALSE,FALSE,,4,10,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+1, Y+1) - ren22",up,"Abandoned Tunnels (X+1, Y+0) - ren32",FALSE,FALSE,7/23/2026 19:16:30,5,3,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+1, Y+1) - ren22",right,"Abandoned Tunnels (X+2, Y+1) - ren70",FALSE,TRUE,,5,6,TRUE,,,,,,,,FALSE,FALSE,TRUE,FALSE,Skipping Stone,TRUE,FALSE,FALSE,
"Abandoned Tunnels (X+4, Y+1) - ren71",right,"Abandoned Tunnels (X+5, Y+1) - ren50",FALSE,FALSE,,7,8,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+5, Y+1) - ren50",right,"Abandoned Tunnels (X+6, Y+1) - ren91",FALSE,TRUE,,8,9,TRUE,,,,,,,,Skipping Stone+,TRUE,TRUE,FALSE,Skipping Stone,TRUE,FALSE,FALSE,
"Abandoned Tunnels (X+0, Y+2) - ren28",right,"Abandoned Tunnels (X+1, Y+2) - ren76",FALSE,TRUE,,10,11,TRUE,,,,,,,,,,,,,,,Battery 1,
"Abandoned Tunnels (X+1, Y+2) - ren76",up,"Abandoned Tunnels (X+1, Y+1) - ren22",FALSE,FALSE,,11,5,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+1, Y+2) - ren76",right,"Abandoned Tunnels (X+2, Y+2) - ren334",FALSE,TRUE,,11,12,TRUE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Battery 2 + Combat 1,
"Abandoned Tunnels (X+2, Y+2) - ren334",right,"Abandoned Tunnels (X+3, Y+2) - ren80",FALSE,FALSE,,12,13,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+3, Y+2) - ren80",right,"Abandoned Tunnels (X+4, Y+2) - ren349",FALSE,FALSE,,13,14,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+4, Y+2) - ren349",up,"Abandoned Tunnels (X+4, Y+1) - ren71",FALSE,FALSE,,14,7,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+4, Y+2) - ren349",right,"Abandoned Tunnels (X+5, Y+2) - ren55",FALSE,TRUE,,14,15,TRUE,,,,,,,,(Skipping Stone AND Battery 3) OR (Skipping Stone+),Battery 3,TRUE,Battery 3,TRUE,TRUE,FALSE,FALSE,
"Abandoned Tunnels (X+5, Y+2) - ren55",right,"Abandoned Tunnels (X+6, Y+2) - ren64",FALSE,TRUE,,15,16,TRUE,,,,,,,,Skipping Stone,Battery 4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
"Abandoned Tunnels (X+6, Y+2) - ren64",down,"Abandoned Tunnels (X+6, Y+3) - ren106",FALSE,FALSE,,16,17,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+6, Y+3) - ren106",down,"Abandoned Tunnels (X+6, Y+4) - ren387",FALSE,FALSE,,17,18,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+6, Y+4) - ren387",right,"Abandoned Tunnels (X+7, Y+4) - ren693",FALSE,FALSE,,18,19,TRUE,,,,,,,,,,,,,,,,
"Abandoned Tunnels (X+7, Y+4) - ren693",right,"Abandoned Tunnels (X+10, Y+4) - ren422",FALSE,TRUE,,19,20,TRUE,,,,,,,,FALSE,Battery 5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Note: Remove barrier/rule in randomizer
"Abandoned Tunnels (X+10, Y+4) - ren422",right,"Abandoned Tunnels (X+11, Y+4) - ren140",FALSE,TRUE,,20,21,TRUE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 3,
"Abandoned Tunnels (X+11, Y+4) - ren140",warp (down),"Safe House (X+0, Y+0) - mig38",FALSE,FALSE,,21,780,TRUE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-1, Y-2) - ren899",left,"Canceled Subway Station (X-2, Y+1) - ren32",,,,22,24,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-1, Y-2) - ren899",right,"Canceled Subway Station (X+1, Y+1) - ren13",,,,22,25,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-1, Y-2) - ren899",down,"Canceled Subway Station (X-1, Y+2) - ren162",,,,22,29,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-3, Y+1) - ren279",right,"Canceled Subway Station (X-2, Y+1) - ren32",,,,23,24,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-2, Y+1) - ren32",right,"Canceled Subway Station (X-1, Y-2) - ren899",,,,24,22,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-2, Y+1) - ren32",left,"Canceled Subway Station (X-3, Y+1) - ren279",,,,24,23,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-2, Y+1) - ren32",down,"Canceled Subway Station (X-2, Y+2) - ren46",,,,24,28,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+1, Y+1) - ren13",left,"Canceled Subway Station (X-1, Y-2) - ren899",,,,25,22,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+1, Y+1) - ren13",right,"Canceled Subway Station (X+2, Y+1) - ren280",,,,25,26,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+1, Y+1) - ren13",down,"Canceled Subway Station (X+1, Y+2) - ren52",,,,25,30,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+2, Y+1) - ren280",left,"Canceled Subway Station (X+1, Y+1) - ren13",,,,26,25,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-3, Y+2) - ren2",right,"Canceled Subway Station (X-2, Y+2) - ren46",,,,27,28,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-3, Y+2) - ren2",down,"Canceled Subway Station (X-3, Y+4) - ren468",,,,27,36,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-2, Y+2) - ren46",up,"Canceled Subway Station (X-2, Y+1) - ren32",,,,28,24,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-2, Y+2) - ren46",left,"Canceled Subway Station (X-3, Y+2) - ren2",,,,28,27,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-2, Y+2) - ren46",down,"Canceled Subway Station (X-2, Y+3) - ren71",,,,28,32,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-1, Y+2) - ren162",up,"Canceled Subway Station (X-1, Y-2) - ren899",,,,29,22,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-1, Y+2) - ren162",down,"Canceled Subway Station (X-1, Y+4) - ren83",,,,29,38,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+1, Y+2) - ren52",up,"Canceled Subway Station (X+1, Y+1) - ren13",,,,30,25,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+1, Y+2) - ren52",right,"Canceled Subway Station (X+2, Y+2) - ren1305",,,,30,31,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+1, Y+2) - ren52",down,"Canceled Subway Station (X+1, Y+3) - ren64",,,,30,33,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+2, Y+2) - ren1305",left,"Canceled Subway Station (X+1, Y+2) - ren52",,,,31,30,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+2, Y+2) - ren1305",down,"Canceled Subway Station (X+2, Y+3) - ren158",,,,31,34,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-2, Y+3) - ren71",up,"Canceled Subway Station (X-2, Y+2) - ren46",,,,32,28,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-2, Y+3) - ren71",down,"Canceled Subway Station (X-2, Y+4) - ren58",,,,32,37,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+1, Y+3) - ren64",up,"Canceled Subway Station (X+1, Y+2) - ren52",,,,33,30,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+1, Y+3) - ren64",right,"Canceled Subway Station (X+2, Y+3) - ren158",,,,33,34,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+1, Y+3) - ren64",down,"Canceled Subway Station (X+1, Y+4) - ren108",,,,33,39,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+2, Y+3) - ren158",up,"Canceled Subway Station (X+2, Y+2) - ren1305",,,,34,31,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+2, Y+3) - ren158",left,"Canceled Subway Station (X+1, Y+3) - ren64",,,,34,33,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X+2, Y+3) - ren158",down,"Canceled Subway Station (X+2, Y+4) - ren157",,,,34,40,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-4, Y+4) - ren306",right,"Canceled Subway Station (X-3, Y+4) - ren468",,,,35,36,FALSE,,,,,,,,,,,,,,,,
"Canceled Subway Station (X-4, Y+4) - ren306",down,"Canceled Subway Station (X-4, Y+5) - ren317",,,,35,41,FALSE,,,,,,,,,,,,,,,,
